"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 05, 2017","0","0","0","0","0","0.99"
"Aug 04, 2017","10,137.55","10,068.25","10,160.30","10,049.95","52.48K","0.51"
"Aug 03, 2017","10,086.30","10,219.05","10,219.05","10,064.40","62.74K","-1.30"
"Aug 02, 2017","10,219.45","10,283.50","10,290.40","10,181.85","44.85K","-0.42"
"Aug 01, 2017","10,262.70","10,277.20","10,295.30","10,204.80","59.31K","-0.06"
"Jul 31, 2017","10,269.25","10,191.60","10,279.05","10,165.50","98.46K","1.00"
"Jul 28, 2017","10,167.75","10,098.50","10,196.90","10,068.35","83.12K","0.04"
"Jul 27, 2017","10,163.80","10,056.10","10,216.30","10,034.05","96.71K","1.77"
"Jul 26, 2017","9,986.85","9,981.00","10,003.80","9,952.15","78.97K","0.28"
"Jul 25, 2017","9,958.80","10,007.50","10,008.35","9,936.30","73.88K","0.32"
"Jul 24, 2017","9,926.60","9,916.70","9,946.00","9,884.80","61.97K","0.39"
"Jul 21, 2017","9,888.20","9,880.50","9,906.25","9,809.65","44.68K","0.22"
"Jul 20, 2017","9,866.90","9,852.05","9,881.40","9,840.75","59.55K","0.42"
"Jul 19, 2017","9,825.45","9,794.30","9,834.05","9,783.90","50.64K","0.53"
"Jul 18, 2017","9,773.50","9,773.10","9,828.05","9,764.10","46.57K","-0.15"
"Jul 17, 2017","9,788.00","9,765.25","9,807.00","9,748.35","50.27K","0.49"
"Jul 14, 2017","9,740.45","9,736.45","9,750.90","9,665.15","50.60K","0.12"
"Jul 13, 2017","9,729.15","9,684.10","9,753.25","9,682.65","63.30K","0.89"
"Jul 12, 2017","9,643.10","9,616.90","9,658.90","9,576.30","42.51K","0.39"
"Jul 11, 2017","9,605.20","9,654.90","9,657.60","9,592.20","45.93K","-0.29"
"Jul 10, 2017","9,633.60","9,604.75","9,716.40","9,499.00","10.00K","0.71"
"Jul 07, 2017","9,565.80","9,607.70","9,610.75","9,543.55","39.38K","-0.42"
"Jul 06, 2017","9,606.25","9,549.80","9,630.65","9,542.55","51.66K","0.63"
"Jul 05, 2017","9,546.35","9,529.70","9,560.75","9,504.60","36.34K","0.23"
"Jul 04, 2017","9,524.75","9,548.25","9,561.80","9,491.75","38.77K","0.03"
"Jul 03, 2017","9,521.70","9,496.75","9,545.05","9,457.40","35.71K","0.29"
"Jun 30, 2017","9,494.20","9,485.85","9,513.95","9,419.35","50.28K","-0.31"
"Jun 29, 2017","9,524.15","9,544.00","9,609.05","9,497.95","108.87K","0.04"
"Jun 28, 2017","9,520.75","9,545.45","9,579.10","9,496.10","66.96K","-0.19"
"Jun 27, 2017","9,539.05","9,675.45","9,675.75","9,470.10","84.05K","-1.09"
"Jun 23, 2017","9,644.40","9,741.35","9,747.85","9,627.65","64.69K","-0.79"
"Jun 22, 2017","9,721.45","9,688.70","9,784.45","9,688.20","58.44K","0.29"
"Jun 21, 2017","9,693.70","9,669.80","9,718.60","9,637.20","40.03K","0.10"
"Jun 20, 2017","9,684.35","9,716.35","9,728.55","9,673.45","54.29K","-0.44"
"Jun 19, 2017","9,726.90","9,668.50","9,740.30","9,646.45","45.89K","1.04"
"Jun 16, 2017","9,626.50","9,591.60","9,635.85","9,580.00","72.44K","0.51"
"Jun 15, 2017","9,578.00","9,601.80","9,614.20","9,545.85","47.99K","-0.41"
"Jun 14, 2017","9,617.25","9,652.25","9,662.25","9,584.95","69.05K","-0.20"
"Jun 13, 2017","9,636.75","9,591.00","9,701.35","9,591.00","47.97K","0.30"
"Jun 12, 2017","9,607.95","9,638.55","9,642.05","9,595.15","45.68K","-0.58"
"Jun 09, 2017","9,664.25","9,576.90","9,671.80","9,559.20","44.35K","0.70"
"Jun 08, 2017","9,597.30","9,590.85","9,621.70","9,576.05","54.59K","0.40"
"Jun 07, 2017","9,559.20","9,545.80","9,575.05","9,508.10","55.77K","0.42"
"Jun 06, 2017","9,519.25","9,557.00","9,561.65","9,504.15","51.23K","-0.14"
"Jun 05, 2017","9,532.50","9,522.55","9,545.75","9,485.00","43.71K","0.19"
"Jun 02, 2017","9,514.00","9,508.75","9,534.05","9,478.60","68.96K","0.42"
"Jun 01, 2017","9,474.60","9,480.95","9,495.25","9,444.30","68.67K","-0.37"
"May 31, 2017","9,510.00","9,489.10","9,529.20","9,451.50","270.21K","0.35"
"May 30, 2017","9,476.65","9,414.40","9,488.25","9,401.50","136.49K","0.41"
"May 29, 2017","9,438.05","9,403.30","9,499.00","9,389.05","54.60K","0.19"
"May 26, 2017","9,419.75","9,331.70","9,439.75","9,316.90","68.07K","0.76"
"May 25, 2017","9,348.75","9,162.15","9,370.55","9,159.60","105.98K","2.24"
