"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2017","9,926.60","9,913.40","9,944.30","9,887.00","61.94K","0.39"
"Jul 21, 2017","9,888.20","9,880.50","9,906.25","9,809.65","44.68K","0.22"
"Jul 20, 2017","9,866.90","9,852.05","9,881.40","9,840.75","59.55K","0.42"
"Jul 19, 2017","9,825.45","9,794.30","9,834.05","9,783.90","50.64K","0.53"
"Jul 18, 2017","9,773.50","9,773.10","9,828.05","9,764.10","46.57K","-0.15"
"Jul 17, 2017","9,788.00","9,765.25","9,807.00","9,748.35","50.27K","0.49"
"Jul 14, 2017","9,740.45","9,736.45","9,750.90","9,665.15","50.60K","0.12"
"Jul 13, 2017","9,729.15","9,684.10","9,753.25","9,682.65","63.30K","0.89"
"Jul 12, 2017","9,643.10","9,616.90","9,658.90","9,576.30","42.51K","0.39"
"Jul 11, 2017","9,605.20","9,654.90","9,657.60","9,592.20","45.93K","-0.29"
"Jul 10, 2017","9,633.60","9,604.75","9,716.40","9,499.00","10.00K","0.71"
"Jul 07, 2017","9,565.80","9,607.70","9,610.75","9,543.55","39.38K","-0.42"
"Jul 06, 2017","9,606.25","9,549.80","9,630.65","9,542.55","51.66K","0.63"
"Jul 05, 2017","9,546.35","9,529.70","9,560.75","9,504.60","36.34K","0.23"
"Jul 04, 2017","9,524.75","9,548.25","9,561.80","9,491.75","38.77K","0.03"
"Jul 03, 2017","9,521.70","9,496.75","9,545.05","9,457.40","35.71K","0.29"
"Jun 30, 2017","9,494.20","9,485.85","9,513.95","9,419.35","50.28K","-0.31"
"Jun 29, 2017","9,524.15","9,544.00","9,609.05","9,497.95","108.87K","0.04"
"Jun 28, 2017","9,520.75","9,545.45","9,579.10","9,496.10","66.96K","-0.19"
"Jun 27, 2017","9,539.05","9,675.45","9,675.75","9,470.10","84.05K","-1.09"
"Jun 23, 2017","9,644.40","9,741.35","9,747.85","9,627.65","64.69K","-0.79"
"Jun 22, 2017","9,721.45","9,688.70","9,784.45","9,688.20","58.44K","0.29"
"Jun 21, 2017","9,693.70","9,669.80","9,718.60","9,637.20","40.03K","0.10"
"Jun 20, 2017","9,684.35","9,716.35","9,728.55","9,673.45","54.29K","-0.44"
"Jun 19, 2017","9,726.90","9,668.50","9,740.30","9,646.45","45.89K","1.04"
"Jun 16, 2017","9,626.50","9,591.60","9,635.85","9,580.00","72.44K","0.51"
"Jun 15, 2017","9,578.00","9,601.80","9,614.20","9,545.85","47.99K","-0.41"
"Jun 14, 2017","9,617.25","9,652.25","9,662.25","9,584.95","69.05K","-0.20"
"Jun 13, 2017","9,636.75","9,591.00","9,701.35","9,591.00","47.97K","0.30"
"Jun 12, 2017","9,607.95","9,638.55","9,642.05","9,595.15","45.68K","-0.58"
"Jun 09, 2017","9,664.25","9,576.90","9,671.80","9,559.20","44.35K","0.70"
"Jun 08, 2017","9,597.30","9,590.85","9,621.70","9,576.05","54.59K","0.40"
"Jun 07, 2017","9,559.20","9,545.80","9,575.05","9,508.10","55.77K","0.42"
"Jun 06, 2017","9,519.25","9,557.00","9,561.65","9,504.15","51.23K","-0.14"
"Jun 05, 2017","9,532.50","9,522.55","9,545.75","9,485.00","43.71K","0.19"
"Jun 02, 2017","9,514.00","9,508.75","9,534.05","9,478.60","68.96K","0.42"
"Jun 01, 2017","9,474.60","9,480.95","9,495.25","9,444.30","68.67K","-0.37"
"May 31, 2017","9,510.00","9,489.10","9,529.20","9,451.50","270.21K","0.35"
"May 30, 2017","9,476.65","9,414.40","9,488.25","9,401.50","136.49K","0.41"
"May 29, 2017","9,438.05","9,403.30","9,499.00","9,389.05","54.60K","0.19"
"May 26, 2017","9,419.75","9,331.70","9,439.75","9,316.90","68.07K","0.76"
"May 25, 2017","9,348.75","9,162.15","9,370.55","9,159.60","105.98K","2.24"
"May 24, 2017","9,143.70","9,180.10","9,206.20","9,115.15","63.54K","-0.16"
"May 23, 2017","9,158.45","9,207.20","9,225.70","9,133.55","77.61K","-0.41"
"May 22, 2017","9,196.50","9,292.00","9,298.70","9,189.00","71.04K","-0.54"
"May 19, 2017","9,246.60","9,288.70","9,316.25","9,192.90","95.69K","-0.14"
"May 18, 2017","9,259.25","9,272.50","9,311.80","9,242.20","75.07K","-0.91"
"May 17, 2017","9,344.05","9,360.20","9,367.00","9,317.95","63.02K","-0.04"
"May 16, 2017","9,347.45","9,324.90","9,353.30","9,284.95","65.63K","0.41"
"May 15, 2017","9,309.50","9,257.85","9,335.10","9,256.65","52.47K","0.83"
"May 12, 2017","9,232.70","9,284.50","9,292.85","9,188.20","58.66K","-0.49"
"May 11, 2017","9,277.90","9,313.90","9,335.20","9,252.90","53.21K","-0.03"
"May 10, 2017","9,280.30","9,196.90","9,291.25","9,190.10","49.61K","1.25"
"May 09, 2017","9,165.75","9,208.35","9,220.45","9,156.90","60.39K","-0.16"
"May 08, 2017","9,180.60","9,182.25","9,232.20","9,158.00","63.69K","0.18"
"May 05, 2017","9,164.50","9,267.15","9,269.55","9,132.00","112.58K","-0.68"
"May 04, 2017","9,227.10","9,186.50","9,264.35","9,132.20","172.76K","1.53"
"May 03, 2017","9,088.05","9,153.65","9,159.10","9,069.10","61.70K","-0.33"
"May 02, 2017","9,117.85","9,089.75","9,129.55","9,045.50","64.46K","0.57"
"Apr 28, 2017","9,066.05","9,092.25","9,094.30","9,022.00","53.73K","-0.44"
"Apr 27, 2017","9,106.40","9,138.55","9,140.50","9,075.45","97.21K","-0.29"
"Apr 26, 2017","9,133.20","9,091.55","9,149.45","8,977.45","68.90K","0.85"
"Apr 25, 2017","9,056.20","8,994.00","9,061.60","8,977.60","71.90K","1.14"
"Apr 24, 2017","8,953.70","8,830.45","8,962.75","8,824.50","71.31K","1.55"
"Apr 21, 2017","8,816.75","8,834.20","8,852.60","8,741.95","66.48K","0.10"
"Apr 20, 2017","8,808.25","8,776.80","8,845.75","8,764.25","75.90K","0.21"
"Apr 19, 2017","8,789.70","8,813.45","8,813.45","8,737.00","65.26K","-0.14"
"Apr 18, 2017","8,802.45","8,829.30","8,901.40","8,785.70","66.86K","-0.03"
"Apr 17, 2017","8,805.10","8,826.10","8,859.25","8,790.25","73.63K","-0.19"
"Apr 13, 2017","8,821.70","8,798.60","8,846.70","8,781.40","50.35K","0.27"
"Apr 12, 2017","8,797.70","8,835.30","8,841.75","8,765.00","86.32K","-0.44"
"Apr 11, 2017","8,836.30","8,734.55","8,844.45","8,722.60","112.63K","1.11"
"Apr 10, 2017","8,739.60","8,761.45","8,765.70","8,711.80","43.06K","-0.02"
"Apr 07, 2017","8,741.75","8,751.65","8,796.40","8,729.00","56.79K","-0.55"
"Apr 06, 2017","8,789.95","8,774.70","8,801.00","8,734.95","72.26K","-0.16"
"Apr 05, 2017","8,804.10","8,828.25","8,833.25","8,774.15","64.68K","-0.25"
"Apr 03, 2017","8,825.80","8,775.50","8,831.55","8,737.00","53.59K","1.05"
"Mar 31, 2017","8,734.30","8,788.35","8,790.85","8,722.30","71.76K","-0.82"
"Mar 30, 2017","8,806.15","8,737.65","8,825.25","8,724.40","103.99K","0.67"
"Mar 29, 2017","8,747.50","8,706.80","8,763.25","8,679.30","95.38K","0.88"
"Mar 28, 2017","8,670.95","8,624.85","8,684.95","8,605.85","79.89K","1.19"
"Mar 27, 2017","8,569.30","8,602.85","8,602.85","8,529.90","55.78K","-0.26"
"Mar 24, 2017","8,591.40","8,548.70","8,609.75","8,531.20","77.73K","0.83"
"Mar 23, 2017","8,520.90","8,501.45","8,531.90","8,466.40","51.78K","0.57"
"Mar 22, 2017","8,472.60","8,485.65","8,514.15","8,461.80","84.89K","-1.04"
"Mar 21, 2017","8,561.95","8,577.15","8,608.85","8,533.25","62.46K","-0.25"
"Mar 20, 2017","8,583.60","8,600.50","8,600.50","8,560.00","59.62K","-0.11"
"Mar 17, 2017","8,592.65","8,629.20","8,638.35","8,571.85","103.36K","-0.10"
"Mar 16, 2017","8,601.15","8,573.95","8,610.00","8,568.40","55.24K","0.66"
"Mar 15, 2017","8,544.55","8,509.75","8,575.00","8,498.80","68.19K","0.41"
"Mar 14, 2017","8,509.50","8,516.70","8,539.40","8,473.10","102.47K","2.27"
"Mar 10, 2017","8,320.65","8,355.55","8,376.45","8,294.50","46.99K","0.00"
"Mar 09, 2017","8,320.45","8,275.90","8,339.85","8,269.90","55.43K","0.25"
"Mar 08, 2017","8,299.45","8,288.75","8,314.10","8,242.55","56.28K","0.19"
"Mar 07, 2017","8,283.45","8,314.00","8,317.05","8,273.25","46.83K","-0.12"
"Mar 06, 2017","8,293.00","8,277.25","8,351.35","8,269.45","50.08K","0.49"
"Mar 03, 2017","8,252.85","8,305.10","8,307.45","8,221.20","38.38K","-0.70"
"Mar 02, 2017","8,310.90","8,411.40","8,428.60","8,295.90","70.27K","-0.79"
